Name,Party,Gender,Religion,Class,State,CensusRegion,PriorExperience,Education,FirstTookOffice,Born
Kyl  Jon,Republican,Male,Presbyterian,3,Arizona,8,"attorney, U.S. House (AZ-4)","Arizona (BA, JD)",1995,1942
Landrieu  Mary L.,Democratic,Female,Roman Catholic,1,Louisiana,7,State Treasurer,Louisiana State,1997,1955
Lautenberg  Frank R.,Democratic,Male,Jewish,1,New Jersey,2,"U.S. Senate, Class 1",Columbia,2003,1924
Leahy  Patrick J.,Democratic,Male,Roman Catholic,2,Vermont,1,Chittenden County State's Attorney,"Saint Michael's College, Georgetown",1975,1940
Levin  Carl,Democratic,Male,Jewish,1,Michigan,3,Detroit City Council,"Swarthmore, Harvard",1979,1934
Lieberman  Joseph I.,Democratic,Male,Jewish,3,Connecticut,1,State Attorney General,"Yale (BA, LLB)",1989,1942
Lincoln  Blanche L.,Democratic,Female,Episcopalian,2,Arkansas,7,U.S. House (AR-1),"Randolph-Macon Women's College, Arkansas",1999,1960
Lott  Trent,Republican,Male,Baptist,3,Mississippi,6,U.S. House (MS-5),Mississippi,1989,1941
Lugar  Richard G.,Republican,Male,Methodist,3,Indiana,3,Mayor of Indianapolis,"Denison, Oxford",1977,1932
Martinez  Mel,Republican,Male,Roman Catholic,2,Florida,5,U.S. Secretary of Housing and Urban Development,"Florida State (BA, JD)",2005,1946
McCain  John,Republican,Male,Baptist,2,Arizona,8,"military, U.S. House (AZ-1)",U.S. Naval Academy,1987,1936
McCaskill  Claire,Democratic,Female,Roman Catholic,3,Missouri,4,State Auditor; Missouri House of Representatives;Jackson County Prosecutor,"University of Missouri (BS, JD)",2007,1953
McConnell  Mitch,Republican,Male,Baptist,1,Kentucky,6,Jefferson County Executive,"Louisville, Kentucky",1985,1942
Menendez  Robert,Democratic,Male,Roman Catholic,3,New Jersey,2,"Mayor of Union City, New Jersey General Assembly, New Jersey Senate, U.S. House (NJ-13)","Saint Peter's College, Rutgers",2006,1954
Mikulski  Barbara A.,Democratic,Female,Roman Catholic,2,Maryland,5,"Baltimore City Council, U.S. House (MD-3)","Mount Saint Agnes, Maryland",1987,1936
Murkowski  Lisa,Republican,Female,Roman Catholic,2,Alaska,9,State House of Representatives,"Georgetown, Willamette",2002,1957
Murray  Patty,Democratic,Female,Roman Catholic,2,Washington,9,State Senate,Washington State,1993,1950
Nelson  Bill,Democratic,Male,Methodist,3,Nebraska,4,Governor,"University of Nebraska (BA, MA, JD)",2001,1941
Nelson  E. Benjamin,Democratic,Male,Episcopalian,3,Florida,5,"U.S. House of Representatives, State Treasurer","Yale, Virginia",2001,1942
Obama  Barack,Democratic,Male,United Church of Christ,2,Illinois,3,Illinois State Senate,"Columbia, Harvard",2005,1961
Pryor  Mark L.,Democratic,Male,Christian,1,Arkansas,7,"Arkansas House of Representatives, State Attorney General","Arkansas (BA, JD)",2003,1963
Reed  Jack,Democratic,Male,Roman Catholic,1,Rhode Island,1,State Senate; U.S. House (RI-2),"United States Military Academy, Harvard",1997,1949
Reid  Harry,Democratic,Male,LDS,2,Nevada,8,"Nevada Assembly, Lt. Governor of Nevada, U.S. House (NV-1)","Southern Utah, Utah State, George Washington",1987,1939
Roberts  Pat,Republican,Male,Methodist,1,Kansas,4,U.S. House (KS-1),Kansas State,1997,1936
Rockefeller  John D.  IV,Democratic,Male,Presbyterian,1,West Virginia,5,Governor,Harvard,1985,1937
Salazar  Ken,Democratic,Male,Roman Catholic,2,Colorado,8,State Attorney General,"Colorado College, Michigan",2005,1955
Sanders  Bernard,Democratic,Male,Jewish,3,Vermont,1,U.S. House (VT-At Large),"College, Chicago",2007,1941
Schumer  Charles E.,Democratic,Male,Jewish,2,New York,2,"New York State Assembly, U.S. House (NY-9)","Harvard (BA, JD)",1999,1950
Sessions  Jeff,Republican,Male,Methodist,1,Alabama,6,State Attorney General,"Huntingdon College, University of Alabama",1997,1946
Shelby  Richard C.,Republican,Male,Methodist,2,Alabama,6,Alabama Senate; U.S. House (AL-7),"University of Alabama (BA, JD)",1987,1934
Smith  Gordon H.,Republican,Male,LDS,1,Oregon,9,State Senate President,"Brigham Young, Southwestern",1997,1952
Snowe  Olympia J.,Republican,Female,Eastern Orthodox,3,Maine,1,Maine House of Representatives;Maine Senate; U.S. House (ME-2),Maine,1995,1947
Specter  Arlen,Republican,Male,Jewish,2,Pennsylvania,2,Philadelphia District Attorney,"Pennsylvania, Yale",1981,1930
Stabenow  Debbie,Democratic,Female,United Methodist,3,Michigan,3,"Ingham County Board of Commissioners, Michigan House of Representatives, Michigan Senate, U.S. House (MI-8)","Michigan State (BA, MSW)",2001,1950
Stevens  Ted,Republican,Male,Episcopalian,1,Alaska,9,"military, attorney, State House of Representatives","UCLA, Harvard",1968,1923
Sununu  John E.,Republican,Male,Roman Catholic,1,New Hampshire,1,U.S. House (NH-1),"MIT, Harvard",2003,1964
Tester  Jon,Democratic,Male,Church of God (Anderson),3,Montana,8,Montana State Senate President,Great Falls,2007,1956
Thomas  Craig,Republican,Male,Methodist,3,Wyoming,8,U.S. House (WY-At Large),Wyoming,1995,1933
Thune  John,Republican,Male,Evangelical Christian,2,South Dakota,4,U.S. House (SD-At Large),"Biola, South Dakota",2005,1961
Vitter  David,Republican,Male,Roman Catholic,2,Louisiana,7,U.S. House (LA-1),"Harvard, Oxford, Tulane",2005,1961
Voinovich  George V.,Republican,Male,Roman Catholic,2,Ohio,3,Mayor of Cleveland; Governor,"Ohio, Ohio State",1999,1936
Warner  John,Republican,Male,Episcopalian,1,Virginia,5,U.S. Secretary of the Navy,"Washington and Lee, Virginia",1979,1927
Webb  Jim,Democratic,Male,Protestant,3,Virginia,5,U.S. Secretary of the Navy,"U.S. Naval Academy, Southern California, Georgetown University",2007,1946
Whitehouse  Sheldon,Democratic,Male,Episcopalian,3,Rhode Island,1,State Attorney General,"Yale, Virginia",2007,1955
Wicker  Roger F.,Republican,Male,Southern Baptist,3,Mississippi,6,U.S. House (MS-1),"Mississippi (BA, JD)",2007,1951
Wyden  Ron,Democratic,Male,Jewish,2,Oregon,9,U.S. House (OR-3),"Stanford, Oregon",1996,1949
